Sensor,time,value
SONIC,2019-07-26 12:47:43.101625,5.32 cm
SONIC,2019-07-26 12:47:43.218304,5.97 cm
POT,2019-07-26 12:47:43.289701,100%
SONIC,2019-07-26 12:47:43.335127,6.47 cm
SONIC,2019-07-26 12:47:43.452160,7.11 cm
SONIC,2019-07-26 12:47:43.659120,1561.98 cm
SONIC,2019-07-26 12:47:43.776128,11.75 cm
POT,2019-07-26 12:47:43.800407,100%
SONIC,2019-07-26 12:47:43.893112,12.07 cm
SONIC,2019-07-26 12:47:44.010154,13.24 cm
SONIC,2019-07-26 12:47:44.217161,1563.02 cm
POT,2019-07-26 12:47:44.311512,100%
SONIC,2019-07-26 12:47:44.425527,1586.24 cm
SONIC,2019-07-26 12:47:44.542492,10.77 cm
SONIC,2019-07-26 12:47:44.659429,9.96 cm
SONIC,2019-07-26 12:47:44.776372,9.76 cm
POT,2019-07-26 12:47:44.822572,47%
SONIC,2019-07-26 12:47:44.983289,1561.78 cm
SONIC,2019-07-26 12:47:45.100230,9.4 cm
SONIC,2019-07-26 12:47:45.217109,9.57 cm
SONIC,2019-07-26 12:47:45.334004,9.21 cm
POT,2019-07-26 12:47:45.339390,47%
SONIC,2019-07-26 12:47:45.450760,8.33 cm
SONIC,2019-07-26 12:47:45.567558,7.43 cm
SONIC,2019-07-26 12:47:45.684431,8.16 cm
SONIC,2019-07-26 12:47:45.801261,7.73 cm
POT,2019-07-26 12:47:45.845378,20%
SONIC,2019-07-26 12:47:45.927190,165.38 cm
SONIC,2019-07-26 12:47:46.043992,7.82 cm
SONIC,2019-07-26 12:47:46.250964,1562.78 cm
POT,2019-07-26 12:47:46.356456,20%
SONIC,2019-07-26 12:47:46.459661,1586.38 cm
SONIC,2019-07-26 12:47:46.667898,1584.45 cm
SONIC,2019-07-26 12:47:46.881252,1585.5 cm
POT,2019-07-26 12:47:46.896551,20%
SONIC,2019-07-26 12:47:46.998179,10.51 cm
SONIC,2019-07-26 12:47:47.115010,8.43 cm
SONIC,2019-07-26 12:47:47.231725,6.7 cm
SONIC,2019-07-26 12:47:47.348443,7.94 cm
POT,2019-07-26 12:47:47.407635,20%
SONIC,2019-07-26 12:47:47.465432,10.68 cm
SONIC,2019-07-26 12:47:47.672392,1562.31 cm
SONIC,2019-07-26 12:47:47.880648,1584.89 cm
POT,2019-07-26 12:47:47.918706,20%
SONIC,2019-07-26 12:47:48.088891,1584.77 cm
